run,kind,base,layers,params_M,tokenization,embedding,dropout,muon_lr,seed,events_M,epochs,max_doms,min_pulses,val_all,val_all_med,val_lt200,val_200_999,val_ge1000,val_ge1000_med,test_all,test_all_med,test_lt200,test_200_999,test_ge1000,test_ge1000_med
F14ft_hi1000_md512_mlr2p5em4,finetune,F14_130M_d256L6_drop0_s17,6,5.0,raw,none,0.0,0.00025,17,,10,512,1000,5.66,1.10,—,—,5.66,1.10,23.28,3.31,—,27.44,6.07,1.13
F15_130M_hyb_d256L12_s17,base,,12,9.8,hybrid,linear,0.1,0.005,17,130.0,10,128,,55.92,48.36,57.94,27.26,5.58,1.17,56.00,48.48,58.03,27.38,5.98,1.20
F15ft_hi1000_md512_mlr2p5em4,finetune,F15_130M_hyb_d256L12_s17,12,9.8,hybrid,linear,0.1,0.00025,17,,10,512,1000,5.13,0.85,—,—,5.13,0.85,22.81,2.94,—,26.97,5.60,0.89
F16_130M_hyb_d256L6_s41,base,,6,5.1,hybrid,linear,0.1,0.005,41,130.0,10,128,,56.08,48.58,58.08,27.60,5.88,1.35,56.17,48.71,58.19,27.65,6.26,1.37
F16ft_hi1000_md512_mlr2p5em4,finetune,F16_130M_hyb_d256L6_s41,6,5.1,hybrid,linear,0.1,0.00025,41,,10,512,1000,5.27,0.93,—,—,5.27,0.93,23.12,3.11,—,27.32,5.73,0.94
F17_130M_hyb_d256L24_mlr0035_s17,base,,24,19.2,hybrid,linear,0.1,0.0035,17,130.0,10,128,,55.91,48.37,57.93,27.33,5.54,1.14,55.97,48.46,58.01,27.22,5.88,1.16
F18_130M_hyb_d256L24_drop0_s17,base,,24,19.2,hybrid,linear,0.0,0.005,17,130.0,10,128,,55.90,48.37,57.92,27.28,5.61,1.14,55.98,48.48,58.02,27.24,5.92,1.18
F18ft_hi1000_md512_mlr2p5em4,finetune,F18_130M_hyb_d256L24_drop0_s17,24,19.2,hybrid,linear,0.0,0.00025,17,,10,512,1000,5.20,0.86,—,—,5.20,0.86,22.75,2.92,—,26.90,5.61,0.88
F18ft_hi500_md512_mlr2p5em4,finetune,F18_130M_hyb_d256L24_drop0_s17,24,19.2,hybrid,linear,0.0,0.00025,17,,10,512,500,22.63,2.91,—,26.83,5.18,0.86,22.68,2.93,—,26.80,5.64,0.89
F19_130M_d256L24lin_drop0_s17,base,,24,19.2,raw,linear,0.0,0.005,17,130.0,10,128,,55.37,47.66,57.37,27.12,5.79,1.28,55.44,47.72,57.44,27.16,6.13,1.31
F19ft_hi1000_md512_mlr2p5em4,finetune,F19_130M_d256L24lin_drop0_s17,24,19.2,raw,linear,0.0,0.00025,17,,10,512,1000,5.23,0.88,—,—,5.23,0.88,22.67,2.98,—,26.80,5.62,0.91
F19ft_hi500_md512_mlr2p5em4,finetune,F19_130M_d256L24lin_drop0_s17,24,19.2,raw,linear,0.0,0.00025,17,,10,512,500,22.56,2.93,—,26.73,5.24,0.88,22.61,2.96,—,26.71,5.61,0.93
F20_130M_d256L24lin_s41,base,,24,19.2,raw,linear,0.1,0.005,41,130.0,10,128,,55.32,47.58,57.31,27.03,5.72,1.24,55.39,47.66,57.40,27.06,6.07,1.29
F20ft_hi1000_md512_mlr2p5em4,finetune,F20_130M_d256L24lin_s41,24,19.2,raw,linear,0.1,0.00025,41,,10,512,1000,—,—,—,—,—,—,—,—,—,—,—,—
F20ft_hi500_md512_mlr2p5em4,finetune,F20_130M_d256L24lin_s41,24,19.2,raw,linear,0.1,0.00025,41,,10,512,500,22.48,2.93,—,26.65,5.15,0.85,22.53,2.91,—,26.63,5.53,0.87
